Structural Framing Schedule,,,
Family and Type,Level,Length,Volume
,,,
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,530,0.50 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,415,0.39 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,264,0.22 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,420,0.39 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,350,0.32 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,250,0.22 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,278,0.26 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,250,0.22 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,350,0.33 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,320,0.30 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,93,0.08 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,250,0.22 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,338,0.30 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,130,0.12 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,415,0.39 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,545,0.45 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,530,0.50 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,415,0.39 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,268,0.16 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.75 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.71 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,350,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,430,0.59 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.67 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.71 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,270,0.38 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,195,0.27 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,255,0.38 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,195,0.23 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,345,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,270,0.38 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,350,0.32 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,420,0.59 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,278,0.29 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,105,0.06 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,350,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,320,0.46 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.80 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.75 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,404,0.58 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,120,0.14 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,120,0.14 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,115,0.17 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,400,0.59 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,230,0.16 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,125,0.12 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,125,0.12 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,295,0.44 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.75 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,250,0.33 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.71 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,350,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,430,0.59 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.68 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.71 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,270,0.38 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,195,0.27 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,255,0.38 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,195,0.23 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,345,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,270,0.38 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,350,0.32 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,420,0.59 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,278,0.29 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,105,0.06 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,500,0.47 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,350,0.48 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,320,0.45 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,530,0.80 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,500,0.75 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,404,0.58 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,120,0.14 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,120,0.14 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,115,0.17 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,400,0.59 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,230,0.16 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,125,0.12 m³
Concrete-Rectangular Beam: 25 X 40 cm (TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8),,125,0.12 m³
Concrete-Rectangular Beam: 25 X 60 cm (RB2,RB3,b3,b1,RB2-12B8,RB7,RB2-12B8,2B6,2B7),,295,0.44 m³
